turnid	ROUGE1-R	MRR	Exact match	F1
44_3	0.727273		0.000000	0.117647
44_4	1.000000	0.000000	0.000000	0.225806
44_5	0.727273		0.000000	0.203390
44_6	0.500000		0.000000	0.037736
44_7	0.500000			
44_8	0.555556		0.000000	0.157895
45_2	0.833333	0.000000	0.000000	0.095238
45_3	1.000000		0.000000	0.194444
45_4	1.000000	1.000000	0.000000	0.622222
45_5	0.923077		0.000000	0.000000
45_6	0.937500		0.000000	0.117647
45_7	0.857143	0.125000	0.000000	0.500000
45_8	1.000000	1.000000	0.000000	0.253968
46_2	1.000000	0.250000	0.000000	0.277778
46_3	0.615385		0.000000	0.065574
46_4	0.600000		0.000000	0.190476
46_5	1.000000		0.000000	0.240000
46_6	1.000000	0.000000	0.000000	0.169492
46_7	0.625000	0.125000	0.000000	0.227273
46_8	0.400000		0.000000	0.186047
46_9	0.857143		0.000000	0.370370
46_10	1.000000		0.000000	0.097561
47_2	0.833333		0.000000	0.551724
47_3	1.000000		0.000000	0.000000
47_4	1.000000		0.000000	0.150000
47_5	1.000000	1.000000	0.000000	0.754717
47_6	1.000000	1.000000	0.000000	0.878788
47_7	1.000000	0.500000	0.000000	0.640000
48_2	0.857143	0.250000	0.000000	0.137931
48_3	0.875000	0.000000	0.000000	0.000000
48_4	1.000000		0.000000	0.085106
48_5	0.750000		0.000000	0.146341
48_6	0.800000		0.000000	0.148148
48_7	0.888889	0.000000	0.000000	0.078431
48_8	1.000000	0.200000	0.000000	0.263158
48_9	1.000000		0.000000	0.000000
49_2	1.000000		0.000000	0.121212
49_3	1.000000	1.000000	0.000000	0.818182
49_4	1.000000		0.000000	0.238095
49_5	0.875000		0.000000	0.000000
49_6	1.000000	0.125000	0.000000	0.292683
49_7	1.000000	0.000000	0.000000	0.218750
49_8	1.000000	0.111111	0.000000	0.214286
49_9	1.000000	0.000000	0.000000	0.181818
49_10	0.714286	0.000000	0.000000	0.120000
50_2	0.857143	0.000000	0.000000	0.142857
50_3	0.875000	0.000000	0.000000	0.205128
50_4	0.833333		0.000000	0.000000
50_5	1.000000	0.000000	0.000000	0.208955
50_6	0.800000		0.000000	0.000000
50_7	1.000000		0.000000	0.031250
50_8	0.750000		0.000000	0.120000
50_9	0.800000	0.000000	0.000000	0.075472
50_10	0.750000	0.000000	0.000000	0.200000
51_2	1.000000		0.000000	0.344828
51_3	1.000000		0.000000	0.434783
51_4	1.000000	0.000000	0.000000	0.363636
51_5	1.000000		0.000000	0.125000
51_6	1.000000	1.000000	0.000000	0.769231
51_7	1.000000	0.000000	0.000000	0.785714
51_8	0.888889		0.000000	0.259259
51_9	0.900000	0.166667	0.000000	0.156863
51_10	0.800000		0.000000	0.176471
52_2	1.000000	0.200000	0.000000	0.127660
52_3	1.000000	0.000000	0.000000	0.066667
52_4	0.666667		0.000000	0.000000
52_5	0.888889		0.000000	0.119403
52_6	0.583333		0.000000	0.039216
52_7	1.000000	0.166667	0.000000	0.318182
52_8	0.777778		0.000000	0.000000
52_9	0.800000			
52_10	0.666667	0.111111	0.000000	0.000000
53_2	1.000000		0.000000	0.171429
53_3	1.000000		0.000000	0.149254
53_4	0.666667	0.500000	1.000000	1.000000
53_5	0.833333	0.000000	0.000000	0.133333
53_6	1.000000		0.000000	0.153846
53_7	1.000000	1.000000	0.000000	0.698413
53_8	0.818182		0.000000	0.074074
53_9	0.714286	0.000000	0.000000	0.444444
54_2	0.818182	0.000000	0.000000	0.400000
54_3	1.000000	1.000000	0.000000	0.933333
54_4	0.555556	0.142857	0.000000	0.352941
54_5	0.769231		0.000000	0.153846
54_6	1.000000	0.000000	0.000000	0.418605
54_7	0.777778		0.000000	0.186047
54_8	1.000000	0.000000	0.000000	0.085106
54_9	0.875000	0.000000	0.000000	0.117647
55_2	0.777778	0.200000	0.000000	0.342857
55_3	0.900000	0.200000	0.000000	0.227273
55_4	0.538462		0.000000	0.171429
55_5	0.714286	0.000000	0.000000	0.157895
55_6	0.428571	0.000000	0.000000	0.303030
55_7	1.000000		0.000000	0.153846
55_8	0.714286	1.000000	0.000000	0.440000
55_9	1.000000	0.000000	0.000000	0.187500
55_10	1.000000	0.500000	0.000000	0.113208
56_2	1.000000	0.000000	0.000000	0.147059
56_3	0.700000			
56_4	1.000000		0.000000	0.157895
56_5	1.000000		0.000000	0.222222
56_6	1.000000	0.000000	0.000000	0.000000
56_7	1.000000	0.000000	0.000000	0.232558
56_8	0.800000	0.000000	0.000000	0.240000
57_2	1.000000	0.000000	0.000000	0.375000
57_3	1.000000		0.000000	0.171429
57_4	0.888889	0.500000	0.000000	0.312500
57_5	1.000000	0.111111	0.000000	0.476190
57_6	1.000000	0.500000	0.000000	0.476190
57_7	0.875000	0.000000	0.000000	0.181818
57_8	1.000000		0.000000	0.228571
57_9	1.000000		0.000000	0.083333
57_10	0.692308	0.000000	0.000000	0.000000
58_2	0.700000	0.000000	0.000000	0.216216
58_3	0.500000		0.000000	0.240000
58_4	0.750000		0.000000	0.120000
58_5	0.500000		0.000000	0.222222
58_6	0.666667		0.000000	0.322581
58_7	1.000000		0.000000	0.333333
58_8	0.750000		0.000000	0.142857
59_2	1.000000		0.000000	0.177778
59_3	1.000000		0.000000	0.444444
59_4	1.000000	0.000000	0.000000	0.380952
59_5	1.000000		0.000000	0.358974
59_6	1.000000		0.000000	0.039216
59_7	0.750000	0.000000	0.000000	0.222222
59_8	0.750000		0.000000	0.090909
60_2	0.666667	0.000000	0.000000	0.142857
60_3	1.000000		0.000000	0.135135
60_4	1.000000		0.000000	0.291667
60_5	1.000000		0.000000	0.258065
60_6	1.000000	0.000000	0.000000	0.196078
60_7	0.666667		0.000000	0.171429
61_2	1.000000	0.000000	0.000000	0.074074
61_3	0.900000		0.000000	0.160000
61_4	0.800000		0.000000	0.121212
61_5	1.000000		0.000000	0.357143
61_6	1.000000			
61_7	0.692308	0.000000	0.000000	0.139535
61_8	1.000000		0.000000	0.606061
61_9	0.444444		0.000000	0.127660
62_2	1.000000		0.000000	0.166667
62_3	1.000000	0.000000	0.000000	0.172414
62_4	1.000000		0.000000	0.225806
62_5	1.000000	0.166667	0.000000	0.218182
62_6	1.000000		0.000000	0.125000
62_7	0.600000		0.000000	0.342857
62_8	1.000000	0.250000	0.000000	0.216216
62_9	0.857143		0.000000	0.044444
62_10	0.444444	0.000000	0.000000	0.000000
62_11	0.636364	0.000000	0.000000	0.178571
63_2	1.000000	0.125000	0.000000	0.133333
63_3	1.000000		0.000000	0.153846
63_4	1.000000	0.000000	0.000000	0.588235
63_5	0.500000	0.000000	0.000000	0.564103
63_6	1.000000		0.000000	0.380952
63_7	1.000000		0.000000	0.102564
63_8	1.000000		0.000000	0.000000
63_9	0.875000		0.000000	0.102564
63_10	1.000000		0.000000	0.150943
64_2	0.500000	0.000000	0.000000	0.054054
64_3	0.500000	0.000000	0.000000	0.225806
64_4	0.714286		0.000000	0.150943
64_5	0.444444		0.000000	0.083333
64_6	0.750000	0.000000	0.000000	0.000000
64_7	0.750000	0.000000	0.000000	0.000000
64_8	0.700000		0.000000	0.000000
64_9	0.666667		0.000000	0.074074
64_10	0.800000		0.000000	0.172414
64_11	0.875000	0.000000	0.000000	0.181818
65_2	1.000000		0.000000	0.121212
65_3	0.625000	0.100000	0.000000	0.274510
65_4	0.888889	0.000000	0.000000	0.262295
65_5	1.000000	0.333333	0.000000	0.260870
65_6	1.000000		0.000000	0.046512
65_7	1.000000	0.000000	0.000000	0.357143
65_8	1.000000	0.142857	0.000000	0.300000
65_9	1.000000	0.500000	0.000000	0.277778
65_10	0.800000	0.250000	0.000000	0.000000
66_2	0.875000		0.000000	0.226415
66_3	1.000000	0.000000	0.000000	0.162162
66_4	0.666667		0.000000	0.163934
66_5	1.000000	0.250000	0.000000	0.343750
66_6	0.833333	0.000000	0.000000	0.048780
66_7	0.500000	0.000000	0.000000	0.044444
66_8	0.875000		0.000000	0.225352
66_9	1.000000	0.000000	0.000000	0.161290
67_2	1.000000	0.125000	0.000000	0.187500
67_3	1.000000		0.000000	0.272727
67_4	1.000000	0.125000	0.000000	0.291667
67_5	1.000000		0.000000	0.322581
67_6	1.000000		0.000000	0.218182
