turnid	ROUGE1-R	MRR	Exact match	F1	ROUGEL-F1
378_3	0.583333	1.000000	0.000000	0.076923	0.142857
378_4	0.642857		0.000000	0.173913	0.259259
379_2	0.750000		0.000000	0.129032	0.117647
379_3	0.461538	0.000000	0.000000	0.093023	0.042553
379_4	0.571429	0.000000	0.000000	0.148148	0.137931
380_2	0.818182		0.000000	0.285714	0.190476
380_3	0.750000		0.000000	0.117647	0.131148
380_4	0.466667	0.000000	0.000000	0.068966	0.125000
381_2	0.666667		0.000000	0.121212	0.111111
381_3	0.833333		0.000000	0.058824	0.055556
382_2	0.555556		0.000000	0.000000	0.000000
382_3	0.800000		0.000000	0.344828	0.258065
382_4	0.363636		0.000000	0.075472	0.133333
382_5	0.350000		0.000000	0.102564	0.130435
383_2	0.800000		0.000000	0.133333	0.117647
383_3	0.600000	0.000000	0.000000	0.100000	0.090909
383_4	0.250000	0.000000	0.000000	0.083333	0.076923
384_2	0.700000		0.000000	0.227273	0.173913
384_3	0.888889	0.000000	0.000000	0.160000	0.142857
385_2	0.250000		0.000000	0.102564	0.136364
385_3	0.700000		0.000000	0.153846	0.200000
385_4	0.727273	0.000000	0.000000	0.095238	0.046512
385_5	0.769231		0.000000	0.133333	0.129032
385_6	0.666667		0.000000	0.000000	0.142857
385_7	0.700000		0.000000	0.157895	0.095238
385_8	0.347826		0.000000	0.000000	0.000000
385_9	0.769231		0.000000	0.153846	0.206897
385_10	0.692308	0.000000	0.000000	0.000000	0.000000
386_2	0.555556		0.000000	0.105263	0.105263
386_3	0.625000		0.000000	0.000000	0.000000
